Date,Price,,,,,
12/2/22,36.08,,,,,
12/1/22,36.55,,,,,
11/30/22,37.85,,,,,
11/29/22,37,,,,,
11/28/22,36.86,,,,,
11/25/22,37.7,,,,,
11/23/22,37.61,,,,,
11/22/22,37.49,,,,,
11/21/22,37.31,,,,,
11/18/22,37.19,,,,,
11/17/22,37.17,,,,,
11/16/22,37.36,,,,,
11/15/22,37.7,,,,,
11/14/22,37.76,,,,,
11/11/22,38.41,,,,,
11/10/22,38.13,,,,,
11/9/22,36.52,,,,,
11/8/22,37.11,,,,,
11/7/22,37.01,,,,,
11/4/22,36.79,,,,,
11/3/22,35.89,,,,,
11/2/22,36.09,,,,,
11/1/22,36.2,,,,,
10/31/22,36.04,,,,,
10/28/22,36.18,,,,,
10/27/22,35.87,,,,,
10/26/22,35.7,,,,,
10/25/22,35.39,,,,,
10/24/22,35.07,,,,,
10/21/22,34.95,,,,,
10/20/22,33.7,,,,,
10/19/22,33.92,,,,,
10/18/22,34.88,,,,,
10/17/22,33.62,,,,,
10/14/22,31.7,,,,,
10/13/22,31.69,,,,,
10/12/22,29.86,,,,,
10/11/22,29.77,,,,,
10/10/22,30.66,,,,,
10/7/22,30.75,,,,,
10/6/22,31.46,,,,,
10/5/22,31.92,,,,,
10/4/22,32.38,,,,,
10/3/22,31.09,,,,,
9/30/22,30.2,,,,,
9/29/22,30.66,,,,,
9/28/22,31.07,,,,,
9/27/22,30.57,,,,,
9/26/22,31.03,,,,,
9/23/22,31.73,,,,,
9/22/22,32.5,,,,,
9/21/22,33.15,,,,,
9/20/22,34.17,,,,,
9/19/22,34.69,,,,,
9/16/22,34.12,,,,,
9/15/22,34.51,,,,,
9/14/22,33.87,,,,,
9/13/22,34,,,,,
9/12/22,35.27,,,,,
9/9/22,34.94,,,,,
9/8/22,34.65,,,,,
9/7/22,33.57,,,,,
9/6/22,33.06,,,,,
9/2/22,33.43,,,,,
9/1/22,33.47,,,,,
8/31/22,33.61,,,,,
8/30/22,34.09,,,,,
8/29/22,33.9,,,,,
8/26/22,34.03,,,,,
8/25/22,35.14,,,,,
8/24/22,34.52,,,,,
8/23/22,34.41,,,,,
8/22/22,34.72,,,,,
8/19/22,35.48,,,,,
8/18/22,36.28,,,,,
8/17/22,36.41,,,,,
8/16/22,36.64,,,,,
8/15/22,36.25,,,,,
8/12/22,36.3,,,,,
8/11/22,35.91,,,,,
8/10/22,35.07,,,,,
8/9/22,33.92,,,,,
